id,aleacion,composicion,categoria,fabricacion,fase,densidad,dureza,modulo_young,limite_elastico,esfuerzo_ultimo,deformacion
447,AlHfNbTaTiZr,"Al16,2-Hf16,4-Nb16,9-Ta16,4-Ti17,4-Zr16,6",Refractario,Aleacion por arco al vacio,BCC+IM,8.6,441,103,1489,1900,21
448,HfNbTaTiZr,"HF20,8-Nb18,9-Ta20,2-Ti20,2-Zr19,9",Refractario,Aleacion por arco al vacio,BCC,9.7,295,55,1073,NA,50
449,Al0.25MoNbTiV,Al0.25-Mo-Nb-Ti-V,Refractario,Fusion por arco electrico no consumible,BCC,7.1,460,164,1250,NA,13
450,Al0.5MoNbTiV,Al0.5-Mo-Nb-Ti-V,Refractario,Fusion por arco electrico no consumible,BCC,6.8,487,158,1625,NA,11
451,Al0.75MoNbTiV,Al0.75-Mo-Nb-Ti-V,Refractario,Fusion por arco electrico no consumible,BCC,6.6,517,154,1260,NA,8
452,AlMoNbTiV,Al-Mo-Nb-Ti-V,Refractario,Fusion por arco electrico no consumible,BCC,6.4,537,150,1375,NA,3
453,MoNbTiV,Mo-Nb-Ti-V,Refractario,Fusion por arco electrico no consumible,BCC,7.3,441,170,1200,NA,26
454,Al0.25NbTaTiV,Al0.25-Nb-Ta-Ti-V,Refractario,Fusion por arco,BCC,8.8,NA,92,1330,NA,NA
455,Al0.5NbTaTiV,Al0.5-Nb-Ta-Ti-V,Refractario,Fusion por arco,BCC,8.5,NA,97,1014,NA,NA
456,AlNbTaTiV,Al-Nb-Ta-Ti-V,Refractario,Fusion por arco,BCC,7.9,NA,101,993,NA,NA
457,AlNbTiV,Al-Nb-Ti-V,Refractario,Fusion por arco + homogenizado 1200 °C por 24 h,BCC,5.5,448,105,1020,1318,5
458,AlNbTiV,Al-Nb-Ti-V,Refractario,Fusion por arco + homogenizado 1200 °C por 24 h + ensayo a 600°C,BCC,5.5,NA,NA,810,1050,12
459,AlNbTiV,Al-Nb-Ti-V,Refractario,Fusion por arco + homogenizado 1200 °C por 24 h + ensayo a 800°C,BCC,5.5,NA,NA,685,NA,NA
460,AlNbTiV,Al-Nb-Ti-V,Refractario,Fusion por arco + homogenizado 1200 °C por 24 h + ensayo a 1000°C,BCC,5.5,NA,NA,158,NA,NA
461,TiZrHfNbV,Ti20-Zr20-Hf20-Nb20-V20,Refractario,Fusion por induccion,BCC,8.1,388,128,1170,1463,29.6
462,TiZrHfNbV,Ti20-Zr20-Hf20-Nb20-V20,Refractario,Fusion por induccion + recocido 573 K por 600 s,BCC,8.1,392,128,1120,1376,30
463,TiZrHfNbV,Ti20-Zr20-Hf20-Nb20-V20,Refractario,Fusion por induccion + recocido 773 K por 600 s,BCC,8.1,390,128,1253,1393,38
464,TiZrHfNbV,Ti20-Zr20-Hf20-Nb20-V20,Refractario,Fusion por induccion + recocido 973 K por 600 s,BCC,8.1,394,128,1140,1463,29.7
465,TiZrHfNbV,Ti20-Zr20-Hf20-Nb20-V20,Refractario,Fusion por induccion + recocido 1173 K por 600 s,BCC+IM,8.1,388,128,1157,1468,39.6
466,TiZrHfNbCr,Ti20-Zr20-Hf20-Nb20-Cr20,Refractario,Fusion por induccion,BCC+IM,8.2,464,112,1375,2130,2.8
467,TiZrHfNbCr,Ti20-Zr20-Hf20-Nb20-Cr21,Refractario,Fusion por induccion + recocido 573 K por 600 s,BCC+IM,8.2,466,112,1420,1885,4.2
468,TiZrHfNbCr,Ti20-Zr20-Hf20-Nb20-Cr22,Refractario,Fusion por induccion + recocido 773 K por 600 s,BCC+IM,8.2,479,112,1457,1908,2.2
469,TiZrHfNbCr,Ti20-Zr20-Hf20-Nb20-Cr23,Refractario,Fusion por induccion + recocido 973 K por 600 s,BCC+IM,8.2,489,112,1332,1726,1.4
470,TiZrHfNbCr,Ti20-Zr20-Hf20-Nb20-Cr24,Refractario,Fusion por induccion + recocido 1173 K por 600 s,BCC+IM,8.2,459,112,1328,1884,4.5
471,NbCrMo0.5Ta0.5TiZr,Nb-Cr-Mo0.5-Ta0.5-Ti-Zr,Refractario,Fusion por arco al vacio,BCC+FCC,8,540,NA,1595,2046,5
472,NbCrMo0.5Ta0.5TiZr,Nb-Cr-Mo0.5-Ta0.5-Ti-Zr,Refractario,Fusion por arco al vacio + estudio 1073 K,BCC+FCC,8,NA,NA,983,1100,5.5
473,NbCrMo0.5Ta0.5TiZr,Nb-Cr-Mo0.5-Ta0.5-Ti-Zr,Refractario,Fusion por arco al vacio + estudio 1273 K,BCC+FCC,8,NA,NA,546,630,NA
